Gene	NGr1	NGr2	NGr3	349r1	349r2	349r3
gene-ECD_00353	519	681	409	499	541	740
gene-ECD_00354	2980	2201	1817	2311	2359	2926
gene-ECD_00355	3139	1859	2308	2712	2319	2959
gene-ECD_00356	6353	5734	4529	4800	5983	7018
gene-ECD_00357	3704	3207	2741	3054	2943	4191
gene-ECD_00358	921	1011	843	1002	912	1464
gene-ECD_00359	3367	3448	3656	3081	4127	5329
gene-ECD_00360	139	133	142	144	171	194
gene-ECD_00361	849	763	707	823	814	846
gene-ECD_00362	3696	3228	2964	2957	3410	3857
gene-ECD_00363	5584	5046	3805	4564	5382	7409
gene-ECD_00364	3277	4372	3555	3021	3272	4437
gene-ECD_00365	1829	1773	1515	1411	2025	1845
gene-ECD_00366	2428	2827	2637	2273	2772	3196
gene-ECD_00367	1923	1638	1874	1604	2263	2210
gene-ECD_00368	3954	4214	3512	3317	4669	4387
gene-ECD_00369	1711	2099	1405	1272	2310	2252
gene-ECD_00370	560	753	632	528	744	678
gene-ECD_00371	1008	1036	803	824	1025	1087
gene-ECD_00372	1639	1109	1316	1185	1645	1245
gene-ECD_00373	2318	1516	1985	1680	2119	1826
gene-ECD_00374	6290	3647	4979	5347	5255	5277
gene-ECD_00375	845	770	750	712	825	996
gene-ECD_00376	54	38	57	51	58	62
gene-ECD_00377	568	455	431	449	507	618
gene-ECD_00378	233	191	205	208	224	213
gene-ECD_00379	27800	8966	15595	17843	13389	14437
gene-ECD_00380	6578	2011	3159	4007	2710	3098
gene-ECD_00381	11908	3591	5388	7054	4679	5443
gene-ECD_00382	36077	14321	17963	22417	17687	21087
gene-ECD_00383	27708	15550	16987	16865	19743	19714
gene-ECD_00384	824	897	625	619	773	888
gene-ECD_00385	1293	1479	1081	1098	1342	2065
gene-ECD_00386	811	423	672	737	727	606
gene-ECD_00387	15805	10613	9642	11780	9625	13688
gene-ECD_00388	13357	9194	10687	10476	11629	12459
gene-ECD_00389	23075	17098	17633	17325	20694	21904
gene-ECD_00390	11	2	3	10	8	10
gene-ECD_00391	564	426	442	373	474	535
gene-ECD_00392	6092	3523	5290	6575	5085	5071
gene-ECD_00393	8368	9574	7307	6751	8839	11571
gene-ECD_00394	152	182	156	131	192	218
gene-ECD_00395	190	167	220	158	301	182
gene-ECD_00396	1579	1237	1578	1241	2588	1640
gene-ECD_00397	4467	2519	4296	3909	5568	2915
gene-ECD_00398	268	272	233	204	230	324
gene-ECD_00399	453	469	456	354	371	428
gene-ECD_00400	978	1246	981	720	987	1288
gene-ECD_00401	793	1084	765	655	752	943
gene-ECD_00402	19	38	16	13	15	44
gene-ECD_00403	269	280	221	188	308	377
gene-ECD_00404	467	451	416	406	471	649
gene-ECD_00405	1488	858	1303	1092	1263	1270
gene-ECD_00406	254	265	311	320	268	297
gene-ECD_00407	125	148	120	141	126	159
gene-ECD_00408	701	671	537	694	715	768
gene-ECD_00409	852	803	776	704	910	732
gene-ECD_00410	937	607	626	625	1070	698
gene-ECD_00411	1117	1051	835	833	1083	882
gene-ECD_00412	387	199	295	363	301	272
gene-ECD_00413	21679	12591	13321	15115	11702	17874
gene-ECD_00414	9183	8395	7092	7589	6420	10368
gene-ECD_00415	908	806	713	895	836	877
gene-ECD_00416	1435	1606	1145	1342	1337	1800
gene-ECD_00417	49	58	39	27	41	55
gene-ECD_00418	470	673	509	470	536	648
gene-ECD_00419	176	238	164	179	212	294
gene-ECD_00420	421	409	282	367	452	451
gene-ECD_00421	2079	2172	1619	1560	2121	2219
gene-ECD_00422	582	547	611	616	408	568
gene-ECD_00423	6287	3488	3815	4221	4127	4815
gene-ECD_00424	51018	13150	25397	35313	22857	24465
gene-ECD_00425	6337	4630	4228	4725	4287	6070
gene-ECD_00426	965	730	808	843	861	945
gene-ECD_00427	443	404	388	378	575	548
gene-ECD_00428	1159	1442	988	1136	1068	1622
gene-ECD_00429	4040	3372	3203	3349	3048	4215
gene-ECD_00430	3234	2365	2538	2364	2790	3441
gene-ECD_00431	5030	3293	4333	3944	4852	4536
gene-ECD_00432	1676	1500	1466	1419	1621	2045
gene-ECD_00433	1159	1306	1034	1128	1260	1377
gene-ECD_00434	935	1050	1049	1086	1112	1362
gene-ECD_00435	15760	10345	14161	14319	14511	12272
gene-ECD_00436	132	123	108	112	146	102
gene-ECD_00437	121	143	120	126	140	168
gene-ECD_00438	802	688	749	732	799	704
gene-ECD_00439	690	551	593	556	658	595
gene-ECD_00440	1690	754	1305	1296	1118	1082
gene-ECD_00441	175	144	112	137	140	184
gene-ECD_00442	452	433	319	408	384	529
gene-ECD_00443	3405	2283	2115	2754	2300	2785
gene-ECD_00444	1988	2041	1540	1435	2027	2231
gene-ECD_00445	903	824	675	715	914	1013
gene-ECD_00446	204	168	204	215	193	230
gene-ECD_00447	527	503	509	443	593	690
gene-ECD_00448	106	113	94	121	104	154
gene-ECD_00449	40	35	32	39	36	50
gene-ECD_00450	22	32	21	22	18	29
gene-ECD_00451	9	8	7	8	11	10
gene-ECD_00452	336	281	345	331	362	395
gene-ECD_00453	264	340	253	226	290	387
gene-ECD_00454	62	53	65	44	74	59
gene-ECD_00455	36	31	42	40	48	55
gene-ECD_00456	2999	2369	2446	2224	2709	3184
gene-ECD_00457	88	64	75	75	99	107
gene-ECD_00458	15	11	10	8	9	20
gene-ECD_00459	42	25	32	31	32	33
gene-ECD_00460	0	0	0	0	0	0
gene-ECD_00461	14	3	4	9	21	15
gene-ECD_00462	119	107	139	95	156	115
gene-ECD_00463	39	55	33	27	34	57
gene-ECD_00464	82	72	63	58	70	52
gene-ECD_00465	658	269	440	442	466	473
gene-ECD_00466	170	111	114	143	120	141
gene-ECD_00467	34	11	21	19	67	39
gene-ECD_00468	25	13	17	14	24	15
gene-ECD_00469	56	56	45	48	57	58
gene-ECD_00470	52	35	30	36	24	39
gene-ECD_00471	47	70	30	32	40	64
gene-ECD_00472	262	415	228	238	334	457
gene-ECD_00473	139	183	110	114	137	190
gene-ECD_00474	588	662	502	451	607	691
gene-ECD_00475	4145	4315	4753	4287	3699	4988
gene-ECD_00476	1817	1493	1386	1258	1581	1804
gene-ECD_00477	162	256	139	142	165	269
gene-ECD_00478	269	304	257	188	255	244
gene-ECD_00479	2409	2267	1943	2122	2215	2792
gene-ECD_00480	11	9	16	7	13	16
gene-ECD_00481	5	2	3	3	6	7
gene-ECD_00482	26	15	16	24	26	21
gene-ECD_00483	1	2	1	3	1	2
gene-ECD_00484	2	3	5	0	0	6
gene-ECD_00485	5	9	5	6	5	6
gene-ECD_00486	379	489	388	387	448	682
gene-ECD_00487	4	6	5	5	7	6
gene-ECD_00488	8	9	9	9	9	16
gene-ECD_00489	6	4	4	5	7	7
gene-ECD_00490	15	10	11	9	17	14
gene-ECD_00492	2	0	2	8	3	6
gene-ECD_00493	52	86	61	59	70	105
gene-ECD_00494	6	4	2	8	4	8
gene-ECD_00495	83	74	81	73	76	116
gene-ECD_00496	332	288	294	310	359	463
gene-ECD_00497	10	12	11	8	5	11
gene-ECD_00498	1	2	5	4	1	4
gene-ECD_00499	8	5	8	9	12	15
gene-ECD_00500	3	2	4	7	0	3
gene-ECD_00501	0	2	1	1	0	0
gene-ECD_00502	10	2	3	5	3	8
gene-ECD_00504	2	4	3	0	5	2
gene-ECD_00505	61	33	44	39	102	29
gene-ECD_00506	16	11	13	16	25	21
gene-ECD_00507	15	13	12	17	28	30
gene-ECD_00508	347	121	170	292	170	220
gene-ECD_00509	839	327	426	937	367	661
gene-ECD_00510	6	3	1	1	0	7
gene-ECD_00511	36	55	33	38	38	43
gene-ECD_00513	3	7	2	2	1	6
gene-ECD_00530	1	1	0	0	1	0
gene-ECD_00531	800	977	696	794	772	1089
gene-ECD_00532	891	1016	773	975	762	1226
gene-ECD_00533	9631	9488	7668	10653	7779	11497
gene-ECD_00534	3047	3780	2729	4048	2249	5865
gene-ECD_00535	4615	6136	4172	5345	3890	7422
gene-ECD_00536	2649	3527	2430	3165	1904	4503
gene-ECD_00537	487	620	513	546	444	785
gene-ECD_00538	1371	1074	1039	996	1124	1620
gene-ECD_00539	5398	3438	4164	3595	3854	3957
gene-ECD_00540	316	184	218	257	270	261
gene-ECD_00541	90	59	64	58	80	83
gene-ECD_00542	396	265	376	264	399	398
gene-ECD_00543	0	0	1	1	1	2
gene-ECD_00545	3	2	0	4	6	1
gene-ECD_00546	1	6	2	1	4	4
gene-ECD_00547	1	4	0	0	1	3
gene-ECD_00548	1	1	1	2	1	3
gene-ECD_00549	99	112	98	93	161	123
gene-ECD_00550	470	255	232	437	609	314
gene-ECD_00551	35	17	12	32	48	25
gene-ECD_00552	2	2	3	4	6	3
gene-ECD_00553	402	248	248	375	1208	373
gene-ECD_00554	16	13	6	9	17	18
gene-ECD_00555	178	109	79	200	382	143
gene-ECD_00556	142	73	86	146	178	91
gene-ECD_00557	88	48	19	88	95	30
gene-ECD_00558	43	30	35	53	67	54
gene-ECD_00559	171	119	79	149	241	153
gene-ECD_00560	63	41	35	48	61	53
gene-ECD_00561	73	52	46	59	105	68
gene-ECD_00562	141	79	111	118	166	112
gene-ECD_00563	138	120	129	120	193	121
gene-ECD_00564	59	37	53	46	66	78
gene-ECD_00566	177	107	159	134	171	137
gene-ECD_00567	551	315	467	438	533	404
gene-ECD_00568	742	294	505	557	543	465
gene-ECD_00569	106	81	111	101	89	102
gene-ECD_00570	50	61	55	57	67	87
gene-ECD_00571	0	1	0	0	1	0
gene-ECD_00572	0	0	0	0	0	0
gene-ECD_00573	524	591	533	488	535	712
gene-ECD_00574	77725	68444	69834	61823	71137	76127
gene-ECD_00575	9169	7242	7774	7168	8369	9315
gene-ECD_00576	3001	1948	4339	3037	3500	2482
gene-ECD_00577	154	164	123	126	141	199
gene-ECD_00578	506	503	502	433	527	548
gene-ECD_00579	707	580	593	561	566	766
gene-ECD_00580	101	87	87	79	84	122
gene-ECD_00581	24	21	19	14	27	18
gene-ECD_00582	19	3	5	13	15	9
gene-ECD_00583	67	54	40	44	64	43
gene-ECD_00584	68	74	63	65	58	55
gene-ECD_00585	12	6	12	4	11	9
gene-ECD_00586	49	53	48	49	64	76
gene-ECD_00587	21	17	9	9	12	22
gene-ECD_00588	5	3	1	5	2	4
gene-ECD_00589	165	198	182	158	211	270
gene-ECD_00590	164	225	149	133	213	250
gene-ECD_00591	98	127	111	95	138	146
gene-ECD_00592	89	109	73	87	75	110
gene-ECD_00593	79	74	68	96	80	117
gene-ECD_00594	500	495	517	520	485	646
gene-ECD_00595	503	296	436	388	496	451
gene-ECD_00596	407	291	409	499	341	466
gene-ECD_00597	7599	8266	7652	7438	7013	10603
gene-ECD_00598	183	233	174	203	192	332
gene-ECD_00599	398	358	323	370	417	472
gene-ECD_00600	141	82	74	111	103	125
gene-ECD_00601	3170	2528	2198	2274	2618	3107
gene-ECD_00602	2725	1937	2087	2101	2152	2487
gene-ECD_00603	655	751	549	657	583	937
